v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat
3111,Téc. cs. físicas y químicas,3. Técnicos,White-collar workers
3112,Téc. Ing. Civil,3. Técnicos,White-collar workers
3113,Electrotécnicos,3. Técnicos,White-collar workers
3114,Téc. electrónica,3. Técnicos,White-collar workers
3115,Téc. Ing. mecánica,3. Técnicos,White-collar workers
3116,Téc. química industrial,3. Técnicos,White-collar workers
3117,"Tec. Ingeniería, industria y minas",3. Técnicos,White-collar workers
3118,Dibujant. Técnicos,3. Técnicos,White-collar workers
3119,Téc. Cs. Físicas,3. Técnicos,White-collar workers
3120,"Supv. Construcción, ingeniería y construcción",3. Técnicos,White-collar workers
3121,Supv. Ingeniería y minas,3. Técnicos,White-collar workers
3122,Supv. Ind. manufactureras,3. Técnicos,White-collar workers
3123,Sup. Construcción,3. Técnicos,White-collar workers
3130,Téc. Ctrl. procesos,3. Técnicos,White-collar workers
3131,Op. Prod. Energia,3. Técnicos,White-collar workers
3132,Op. Incineradores y plantas de agua,3. Técnicos,White-collar workers
3133,Cont. Inst químicas,3. Técnicos,White-collar workers
3134,Op. Refinamiento petroleo y gas,3. Técnicos,White-collar workers
3135,Cont. prod. metales,3. Técnicos,White-collar workers
3139,Téc. Ctrl. Procesos n/c,3. Técnicos,White-collar workers
3140,Téc. Cs. biológicas y afines,3. Técnicos,White-collar workers
3141,Téc. Cs. Biológicas,3. Técnicos,White-collar workers
3142,Téc. agropecuarios,3. Técnicos,White-collar workers
3143,Téc. forestales,3. Técnicos,White-collar workers
3150,Técnicos navegación marítima y aeronáutica,3. Técnicos,White-collar workers
3151,Of. Maquinistas navegación,3. Técnicos,White-collar workers
3152,"Capitanes, oficiales de cubierta y prácticos",3. Técnicos,White-collar workers
3153,Pilotos de aviación y afines,3. Técnicos,White-collar workers
3154,Cont. tráf. aéreo,3. Técnicos,White-collar workers
3155,Téc. Seg. aeronáutica,3. Técnicos,White-collar workers
3200,Prof. med. salud,3. Técnicos,White-collar workers
3210,Téc. médicos y farmacéuticos,3. Técnicos,White-collar workers
3211,Téc. diagnóstico y tratamiento médico,3. Técnicos,White-collar workers
3212,Téc. Lab. médicos,3. Técnicos,White-collar workers
3213,Téc. farmacéuticos,3. Técnicos,White-collar workers
3214,Téc. prótesis médicas y dentales,3. Técnicos,White-collar workers
3220,Prof. med. enfermería y partería,3. Técnicos,White-collar workers
3221,Prof. med. enfermería,3. Técnicos,White-collar workers
3222,Prof. med. partería,3. Técnicos,White-collar workers
3230,Prof. med. medicina tradicional y alternativa,3. Técnicos,White-collar workers
3232,Prof. med. medicina tradicional y alternativa,3. Técnicos,White-collar workers
3240,Téc. veterinarios,3. Técnicos,White-collar workers
3250,Prof med. salud,3. Técnicos,White-collar workers
3251,Aux. y ay. Dentista,3. Técnicos,White-collar workers
3252,Téc. Doc. Sanitaria,3. Técnicos,White-collar workers
3253,T ra. Comu. Salud,3. Técnicos,White-collar workers
3254,Téc. optometría y ópticos,3. Técnicos,White-collar workers
3255,Téc. fisioterapeutas,3. Técnicos,White-collar workers
3256,Asistentes médicos,3. Técnicos,White-collar workers
3257,Insp. Salud y laboral,3. Técnicos,White-collar workers
3258,Ay. de ambulancias,3. Técnicos,White-collar workers
3259,Prof med. salud n/c,3. Técnicos,White-collar workers
3300,Prof. Med. Financieros,3. Técnicos,White-collar workers
3310,Prof. Med. Finanzas y matemáticas,3. Técnicos,White-collar workers
3311,"Ag. bolsa, cambio y otros servicios financieros",3. Técnicos,White-collar workers
3312,Of. Préstamos y créditos,3. Técnicos,White-collar workers
3313,Tenedores de libros,3. Técnicos,White-collar workers
3314,Prof. med. estadística y afines,3. Técnicos,White-collar workers
3315,Tasadores,3. Técnicos,White-collar workers
3320,Ag. comerciales y corredores,3. Técnicos,White-collar workers
3321,Ag. de seguros,3. Técnicos,White-collar workers
3322,Rep. Comerciales,3. Técnicos,White-collar workers
3323,Ag. de compras,3. Técnicos,White-collar workers
3324,Ag. de compras y consignatarios,3. Técnicos,White-collar workers
3330,Ag. serv. comerciales,3. Técnicos,White-collar workers
3331,Dec. o gest. aduana,3. Técnicos,White-collar workers
3332,Org. Eventos y conferencias,3. Técnicos,White-collar workers
3333,Ag. de empleo y contratistas de mano de obra,3. Técnicos,White-collar workers
3334,Ag. inmobiliarios,3. Técnicos,White-collar workers
3339,Ag. serv. comerciales n/c,3. Técnicos,White-collar workers
3340,Secretarios administrativos y especializados,3. Técnicos,White-collar workers
3341,Supv. Secretaría,3. Técnicos,White-collar workers
3342,Secretarios jurídicos,3. Técnicos,White-collar workers
3343,Secretarios administrativos y ejecutivos,3. Técnicos,White-collar workers
3344,Secretarios médicos,3. Técnicos,White-collar workers
3350,Ag. adm. pública para la aplicación de la ley y afines,3. Técnicos,White-collar workers
3351,Ag. aduana e inspectores de fronteras,3. Técnicos,White-collar workers
3352,Ag. adm. tributaria,3. Técnicos,White-collar workers
3353,Ag. seg. Social,3. Técnicos,White-collar workers
3354,Ag. serv. licencias y permisos,3. Técnicos,White-collar workers
3355,Insp. De policía,3. Técnicos,White-collar workers
3359,Ag. adm. pública para la aplicacion de la ley y afines no clasificados bajo otros epígrafes,3. Técnicos,White-collar workers
3400,Prof. med. jurídico,3. Técnicos,White-collar workers
3410,Prof. Med. Jurídicos y sociales,3. Técnicos,White-collar workers
3411,Prof. med. derecho,3. Técnicos,White-collar workers
3412,Traby asist. Sociales nivel medio,3. Técnicos,White-collar workers
3413,Aux. laicos religiones,3. Técnicos,White-collar workers
3420,Ent. deportivos,3. Técnicos,White-collar workers
3421,Atletas y deportistas,3. Técnicos,White-collar workers
3422,"Ent. Deportivos, arbitros",3. Técnicos,White-collar workers
3423,Inst. ed física,3. Técnicos,White-collar workers
3430,"Prof. med. Act culturales, artísticas y humanas",3. Técnicos,White-collar workers
3431,Fotógrafos,3. Técnicos,White-collar workers
3432,Dis. De interior,3. Técnicos,White-collar workers
3433,"Téc. arte, museos y bibliotecas",3. Técnicos,White-collar workers
3434,Chefs,3. Técnicos,White-collar workers
3435,Prof med. Act artísticas y culturales,3. Técnicos,White-collar workers
3500,Téc. IT,3. Técnicos,White-collar workers
3510,Téc. Op. IT n/c,3. Técnicos,White-collar workers
3511,Téc. Op. IT,3. Técnicos,White-collar workers
3512,Téc. Asistencia IT,3. Técnicos,White-collar workers
3513,Téc. redes y sistemas de computadores,3. Técnicos,White-collar workers
3514,Técnicos Web,3. Técnicos,White-collar workers
3520,Téc. telecomunicaciones y radiodifusión,3. Técnicos,White-collar workers
3521,Téc. radiodifusión y grabación audio visual,3. Técnicos,White-collar workers
3522,Téc. Ing. telecomunicaciones,3. Técnicos,White-collar workers
4000,Apoyo administrativo,4. Trabajadores administrativos,White-collar workers
4100,Oficinistas n/c,4. Trabajadores administrativos,White-collar workers
4110,Oficinistas,4. Trabajadores administrativos,White-collar workers
4120,Secretarios (general),4. Trabajadores administrativos,White-collar workers
4130,Op. Maq oficina,4. Trabajadores administrativos,White-collar workers
4131,Op. Pros de texto y mecanógrafos,4. Trabajadores administrativos,White-collar workers
4132,Grab. De datos,4. Trabajadores administrativos,White-collar workers
4200,Emp. Trato directo con el público,4. Trabajadores administrativos,White-collar workers
4210,Cobradores y pagadores,4. Trabajadores administrativos,White-collar workers
4211,Cajeros bancos y afines,4. Trabajadores administrativos,White-collar workers
